DP junc turn attend pos x y z roty obj
NaN NaN +0 0 -1 -03.65 0 +02.50 -045 f25
000 000 -1 0 -1 -03.65 0 +10.50 -045 f43
001 004 -1 1 -1 -09.50 0 +11.35 -135 v41
000 000 +1 0 +1 -11.65 0 +05.50 +225 f09
001 003 +1 0 -1 -17.50 0 +03.35 -135 f31
000 000 -1 1 +1 -18.35 0 +10.50 +045 v23
001 003 -1 0 +1 -25.50 0 +12.65 -045 f44
000 000 +1 0 -1 -26.35 0 +05.50 +135 f41
001 004 +1 0 -1 -33.50 0 +03.35 -135 f19
000 000 -1 1 -1 -35.65 0 +10.50 -045 v08
001 004 -1 0 +1 -41.50 0 +12.65 -045 f38
000 000 +1 1 +1 -43.65 0 +05.50 +225 v27
001 003 +1 1 +1 -49.50 0 +04.65 -045 v31
000 000 -1 1 +1 -50.35 0 +10.50 +045 v44
001 003 -1 1 -1 -57.50 0 +11.35 -135 v11
000 000 +1 0 +1 -59.65 0 +05.50 +225 f45
001 004 +1 0 +1 -65.50 0 +04.65 -045 f26
NaN NaN -1 0 +1 -66.35 0 +10.50 +045 f16
NaN NaN -1 0 +1 -74.00 0 +12.65 -045 f34
NaN NaN +0 0 -1 -74.35 0 +05.50 +135 f39
NaN NaN +0 1 -1 -74.35 0 -02.50 +135 v07
NaN NaN -1 1 +1 -75.65 0 -10.50 +225 v14
NaN NaN -1 1 +1 -68.50 0 -12.65 +135 v48
001 004 +1 1 -1 -67.65 0 -05.50 -045 v12
000 000 +1 0 -1 -60.50 0 -03.35 +045 f29
001 003 -1 1 +1 -59.65 0 -10.50 +225 v38
000 000 -1 0 +1 -52.50 0 -12.65 +135 f36
001 003 +1 1 -1 -51.65 0 -05.50 -045 v47
000 000 +1 1 +1 -44.50 0 -04.65 +135 v32
001 004 -1 1 +1 -43.65 0 -10.50 +225 v25
000 000 -1 0 -1 -36.50 0 -11.35 +045 f47
001 004 +1 1 +1 -34.35 0 -05.50 +045 v01
000 000 +1 1 -1 -28.50 0 -03.35 +045 v28
001 003 -1 0 -1 -26.35 0 -10.50 +135 f32
000 000 -1 0 +1 -20.50 0 -12.65 +135 f15
001 003 +1 0 +1 -18.35 0 -05.50 +045 f21
000 000 +1 1 -1 -12.50 0 -03.35 +045 v05
001 004 -1 0 -1 -10.35 0 -10.50 +135 f18
000 000 -1 1 -1 -04.50 0 -11.35 +045 v16
NaN NaN +0 1 -1 -03.65 0 -05.50 -045 v35
