sub block trial obj foil exp maze DP turn attend pos resp1 resp2 resp3 RT1 RT2 RT3 correct1 correct2 correct3
99 1 01 f36 0 1 1 1 +1 0 +1 1 1 2 02.5544 01.2004 02.5086 1 1 1
99 2 01 v10 1 0 0 0 +0 0 +0 1 1 2 01.4811 01.5887 00.7975 0 0 0
99 3 01 f34 0 1 2 4 -1 0 +1 1 1 2 01.5444 05.1235 01.0881 1 0 0
99 4 01 f18 0 1 2 3 +1 0 -1 1 2 1 01.6251 00.9689 01.4585 1 1 0
99 5 01 v48 0 1 2 1 -1 1 -1 1 2 1 01.4650 01.2629 01.2386 1 1 1
99 6 01 f10 0 1 1 4 -1 0 +1 1 2 1 03.0818 01.0928 01.3196 1 0 1
99 7 01 f29 1 0 0 0 +0 0 +0 2 NaN NaN 01.3243 00.0000 00.0000 1 NaN NaN
99 8 01 v39 0 1 1 1 -1 1 -1 1 1 1 01.4530 02.1903 03.0371 1 1 1
99 9 01 f44 0 1 1 1 +1 0 -1 1 1 2 01.8752 00.8452 00.8104 1 1 1
99 10 01 v40 1 0 0 0 +0 0 +0 2 NaN NaN 00.9611 00.0000 00.0000 1 NaN NaN
99 11 01 v11 0 1 2 4 +1 1 +1 1 2 2 04.5505 04.3339 04.3341 1 1 1
99 12 01 v03 0 1 2 3 -1 1 -1 1 2 1 01.1734 00.5291 01.7114 1 1 1
99 13 01 f19 0 1 1 3 +1 0 -1 1 1 2 01.5575 01.0132 01.9365 1 1 1
99 14 01 v19 0 1 1 1 +1 1 +1 1 1 1 01.1666 00.4211 01.7313 1 1 0
99 15 01 f38 1 0 0 0 +0 0 +0 1 2 1 02.2752 01.6326 01.3823 0 0 0
99 16 01 f35 0 1 1 1 -1 0 +1 1 1 1 01.3313 00.6553 00.8205 1 1 1
99 17 01 v06 0 1 1 1 -1 1 -1 1 1 1 01.2133 02.6453 01.4781 1 1 1
99 18 01 v21 0 1 2 1 +1 1 -1 1 2 2 01.3329 00.9830 00.6460 1 1 1
99 19 01 v31 0 1 1 1 +1 1 +1 1 1 2 00.9521 00.7609 01.2427 1 1 1
