Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,50,50,50,50
140,0,40,30,75,100,100,100
180,0,40,30,100,100,100,125
100,0,2.309401e+01,30,50,50,50,50
140,0,2.309401e+01,30,100,100,100,100
180,0,2.309401e+01,30,100,100,125,125
100,0,40,60,50,50,75,100
140,0,40,60,100,100,100,100
180,0,40,60,100,100,100,125
100,0,2.309401e+01,60,50,50,50,50
140,0,2.309401e+01,60,100,100,100,100
180,0,2.309401e+01,60,100,100,150,150
100,0,40,120,50,75,100,100
140,0,40,120,100,100,100,100
180,0,40,120,150,150,200,150
100,0,2.309401e+01,120,50,100,50,100
140,0,2.309401e+01,120,100,100,125,125
180,0,2.309401e+01,120,150,150,150,150
100,0,40,150,100,100,100,0
140,0,40,150,125,100,125,125
180,0,40,150,200,150,200,150
100,0,2.309401e+01,150,100,100,100,100
140,0,2.309401e+01,150,125,100,100,125
180,0,2.309401e+01,150,150,150,150,125
