Subject Block Trial Dot_Coherence Sound_Direction Response
05 01 01 +1.00 +1 +1
05 01 02 +0.32 +0 -1
05 01 03 +0.56 -1 +1
05 01 04 +0.56 +0 +1
05 01 05 +0.10 +0 +1
05 01 06 -0.32 +0 -1
05 01 07 +0.32 +1 +1
05 01 08 +1.00 -1 +1
05 01 09 -0.18 +0 -1
05 01 10 -0.18 +1 -1
05 01 11 -0.10 +0 -1
05 01 12 -0.56 -1 -1
05 01 13 -0.32 +1 -1
05 01 14 +0.32 -1 +1
05 01 15 -1.00 +1 +1
05 01 16 -0.18 -1 -1
05 01 17 -0.56 +0 +1
05 01 18 -1.00 -1 -1
05 01 19 +0.18 +0 +1
05 01 20 -0.10 -1 +1
05 01 21 +0.10 -1 -1
05 01 22 -0.10 +1 +1
05 01 23 +1.00 +0 +1
05 01 24 -0.56 +1 -1
05 01 25 +0.00 +0 +1
05 01 26 +0.00 -1 -1
05 01 27 +0.18 +1 +1
05 01 28 +0.10 +1 +1
05 01 29 -0.32 -1 -1
05 01 30 +0.56 +1 +1
05 01 31 +0.18 -1 +1
05 01 32 -1.00 +0 -1
05 01 33 +0.00 +1 +1
05 02 01 -1.00 -1 -1
05 02 02 -0.10 -1 +1
05 02 03 +1.00 +1 +1
05 02 04 +0.18 +1 +1
05 02 05 +1.00 -1 +1
05 02 06 +0.32 +0 +1
05 02 07 -0.18 +0 -1
05 02 08 +0.32 +1 +1
05 02 09 +0.10 +0 +1
05 02 10 -0.32 -1 -1
05 02 11 +0.00 +1 +1
05 02 12 -0.18 -1 +1
05 02 13 -0.56 +0 +1
05 02 14 +0.56 +0 +1
05 02 15 -0.56 +1 -1
05 02 16 -1.00 +0 -1
05 02 17 +0.10 -1 +1
05 02 18 +0.18 +0 +1
05 02 19 +0.10 +1 +1
05 02 20 -1.00 +1 -1
05 02 21 -0.32 +0 +1
05 02 22 -0.18 +1 -1
05 02 23 -0.56 -1 -1
05 02 24 -0.10 +1 +1
05 02 25 -0.10 +0 +1
05 02 26 +0.56 -1 +1
05 02 27 +0.18 -1 +1
05 02 28 +0.56 +1 +1
05 02 29 +0.32 -1 +1
05 02 30 +0.00 +0 -1
05 02 31 -0.32 +1 -1
05 02 32 +0.00 -1 +1
05 02 33 +1.00 +0 +1
05 03 01 +1.00 +0 +1
05 03 02 +1.00 +1 +1
05 03 03 +0.10 -1 -1
05 03 04 -0.10 -1 -1
05 03 05 -0.32 -1 +1
05 03 06 -0.18 +1 -1
05 03 07 +0.10 +0 +1
05 03 08 -1.00 +0 -1
05 03 09 -0.56 +0 -1
05 03 10 +0.56 +1 +1
05 03 11 -0.32 +0 -1
05 03 12 +0.56 -1 +1
05 03 13 -0.32 +1 -1
05 03 14 +0.56 +0 +1
05 03 15 +0.00 +0 +1
05 03 16 -0.10 +0 -1
05 03 17 +1.00 -1 +1
05 03 18 +0.32 -1 +1
05 03 19 -0.10 +1 -1
05 03 20 -0.18 -1 -1
05 03 21 +0.32 +0 +1
05 03 22 +0.32 +1 +1
05 03 23 -1.00 -1 -1
05 03 24 -0.56 -1 -1
05 03 25 -0.18 +0 -1
05 03 26 +0.00 +1 +1
05 03 27 +0.18 -1 +1
05 03 28 +0.18 +1 +1
05 03 29 +0.00 -1 -1
05 03 30 +0.10 +1 +1
05 03 31 -1.00 +1 -1
05 03 32 +0.18 +0 +1
05 03 33 -0.56 +1 -1
05 04 01 -0.32 -1 -1
05 04 02 -0.56 +1 -1
05 04 03 -0.10 -1 +1
05 04 04 -0.56 -1 -1
05 04 05 +1.00 +0 +1
05 04 06 +0.18 -1 +1
05 04 07 -1.00 +0 -1
05 04 08 +0.00 +1 +1
05 04 09 +0.10 -1 -1
05 04 10 +1.00 -1 +1
05 04 11 +0.56 -1 +1
05 04 12 +0.18 +0 -1
05 04 13 -0.56 +0 -1
05 04 14 -0.32 +1 +1
05 04 15 +0.32 +0 +1
05 04 16 +0.00 -1 -1
05 04 17 -1.00 +1 -1
05 04 18 -0.18 +1 +1
05 04 19 -1.00 -1 -1
05 04 20 +0.10 +1 +1
05 04 21 +1.00 +1 +1
05 04 22 -0.18 +0 -1
05 04 23 -0.32 +0 -1
05 04 24 +0.32 +1 +1
05 04 25 +0.56 +1 +1
05 04 26 +0.18 +1 +1
05 04 27 +0.00 +0 -1
05 04 28 +0.10 +0 +1
05 04 29 -0.18 -1 -1
05 04 30 -0.10 +0 +1
05 04 31 +0.32 -1 +1
05 04 32 -0.10 +1 -1
05 04 33 +0.56 +0 +1
05 05 01 +0.56 +0 +1
05 05 02 -0.10 -1 -1
