Subject Block Trial Dot_Coherence Sound_Direction Response
04 01 01 -0.50 -1 -1
04 01 02 +0.75 +1 +1
04 01 03 -1.00 -1 -1
04 01 04 -0.75 +1 -1
04 01 05 +0.50 -1 +1
04 01 06 +0.75 -1 +1
04 01 07 -0.50 +1 -1
04 01 08 +0.00 +1 +1
04 01 09 -1.00 +1 -1
04 01 10 +0.25 +1 +1
04 01 11 +0.75 +0 +1
04 01 12 +0.00 +0 +1
04 01 13 +0.00 -1 -1
04 01 14 +0.25 +0 +1
04 01 15 +0.25 -1 +1
04 01 16 -0.25 -1 -1
04 01 17 +0.50 +1 +1
04 01 18 -0.75 -1 -1
04 01 19 +0.50 +0 +1
04 01 20 -0.25 +1 -1
04 01 21 +1.00 -1 +1
04 01 22 -0.50 +0 -1
04 01 23 +1.00 +0 +1
04 01 24 -0.25 +0 -1
04 01 25 +1.00 +1 +1
04 01 26 -0.75 +0 -1
04 01 27 -1.00 +0 -1
04 02 01 -0.75 -1 -1
04 02 02 +0.25 +1 +1
04 02 03 -0.25 +0 -1
04 02 04 +0.75 +0 +1
04 02 05 -0.25 +1 -1
04 02 06 -1.00 +1 -1
04 02 07 +0.25 +0 +1
04 02 08 -0.25 -1 -1
04 02 09 +0.75 -1 +1
04 02 10 +0.50 +1 +1
04 02 11 -0.50 +0 -1
04 02 12 -0.75 +0 -1
04 02 13 -0.75 +1 -1
04 02 14 +1.00 -1 +1
04 02 15 +1.00 +1 +1
04 02 16 +0.25 -1 -1
04 02 17 +0.00 -1 +1
04 02 18 +0.50 +0 +1
04 02 19 +0.50 -1 +1
04 02 20 +0.00 +1 -1
04 02 21 +0.75 +1 +1
04 02 22 +0.00 +0 +1
04 02 23 -0.50 +1 -1
04 02 24 +1.00 +0 +1
04 02 25 -0.50 -1 -1
04 02 26 -1.00 -1 -1
04 02 27 -1.00 +0 -1
04 03 01 +0.50 -1 +1
04 03 02 +1.00 +0 +1
04 03 03 -1.00 +0 -1
04 03 04 +0.50 +1 +1
04 03 05 +0.50 +0 +1
04 03 06 +0.00 +1 -1
04 03 07 +1.00 -1 +1
04 03 08 +1.00 +1 +1
04 03 09 -0.25 +1 -1
04 03 10 -0.50 +1 -1
04 03 11 -0.25 +0 +1
04 03 12 +0.00 +0 -1
04 03 13 +0.25 +1 +1
04 03 14 +0.25 -1 +1
04 03 15 -0.75 -1 -1
04 03 16 +0.75 +1 +1
04 03 17 +0.00 -1 -1
04 03 18 -0.50 -1 -1
04 03 19 -1.00 +1 -1
04 03 20 +0.75 -1 +1
04 03 21 +0.25 +0 +1
04 03 22 -0.75 +1 -1
04 03 23 +0.75 +0 +1
04 03 24 -0.50 +0 -1
04 03 25 -0.75 +0 -1
04 03 26 -1.00 -1 -1
04 03 27 -0.25 -1 -1
04 04 01 +0.25 +0 +1
04 04 02 +1.00 +0 +1
04 04 03 +1.00 -1 +1
04 04 04 -0.75 +1 -1
04 04 05 -0.25 +0 -1
04 04 06 +0.50 -1 +1
04 04 07 -0.75 +0 -1
04 04 08 +0.50 +1 +1
04 04 09 +0.75 +1 +1
04 04 10 +0.50 +0 +1
04 04 11 +0.75 -1 +1
04 04 12 +0.75 +0 +1
04 04 13 +0.00 +1 -1
04 04 14 +0.00 -1 +1
04 04 15 +1.00 +1 +1
04 04 16 -0.50 +0 -1
04 04 17 -1.00 -1 -1
04 04 18 +0.25 -1 +1
04 04 19 -0.50 -1 -1
04 04 20 -0.25 +1 -1
04 04 21 -0.25 -1 -1
04 04 22 -0.75 -1 -1
04 04 23 -1.00 +0 -1
04 04 24 -1.00 +1 -1
04 04 25 +0.00 +0 +1
04 04 26 -0.50 +1 -1
04 04 27 +0.25 +1 +1
04 05 01 +0.00 +0 +1
04 05 02 +0.25 +1 +1
04 05 03 +0.75 +0 +1
04 05 04 -0.75 +0 -1
04 05 05 +0.25 +0 +1
04 05 06 +0.50 +0 +1
04 05 07 +0.50 +1 +1
04 05 08 -0.50 -1 -1
04 05 09 -0.75 -1 -1
04 05 10 -1.00 +0 -1
04 05 11 +0.00 -1 +1
04 05 12 +0.75 -1 +1
04 05 13 +0.00 +1 +1
