Female	FSIQ	VIQ	PIQ	Weight	Height	MRI_Count
1	133	132	124	118	64.5	816932
0	140	150	124	NA	72.5	1001121
0	139	123	150	143	73.3	1038437
0	133	129	128	172	68.8	965353
1	137	132	134	147	65.0	951545
1	99	90	110	146	69.0	928799
1	138	136	131	138	64.5	991305
1	92	90	98	175	66.0	854258
0	89	93	84	134	66.3	904858
0	133	114	147	172	68.8	955466
1	132	129	124	118	64.5	833868
0	141	150	128	151	70.0	1079549
0	135	129	124	155	69.0	924059
1	140	120	147	155	70.5	856472
1	96	100	90	146	66.0	878897
1	83	71	96	135	68.0	865363
1	132	132	120	127	68.5	852244
0	100	96	102	178	73.5	945088
1	101	112	84	136	66.3	808020
0	80	77	86	180	70.0	889083
0	83	83	86	NA	NA	892420
0	97	107	84	186	76.5	905940
1	135	129	134	122	62.0	790619
0	139	145	128	132	68.0	955003
1	91	86	102	114	63.0	831772
0	141	145	131	171	72.0	935494
1	85	90	84	140	68.0	798612
0	103	96	110	187	77.0	1062462
1	77	83	72	106	63.0	793549
1	130	126	124	159	66.5	866662
1	133	126	132	127	62.5	857782
0	144	145	137	191	67.0	949589
0	103	96	110	192	75.5	997925
0	90	96	86	181	69.0	879987
1	83	90	81	143	66.5	834344
1	133	129	128	153	66.5	948066
0	140	150	124	144	70.5	949395
1	88	86	94	139	64.5	893983
0	81	90	74	148	74.0	930016
0	89	91	89	179	75.5	935863
