Subject Block Trial Dot_Coherence Sound_Direction Target_Location Response Response_Correct
02 01 01 +0.00 +0 -1 -1 1
02 01 02 +0.56 -1 -1 -1 1
02 01 03 +0.42 +0 -1 -1 1
02 01 04 +0.56 +0 +1 +1 1
02 01 05 +0.13 +1 -1 +1 0
02 01 06 +0.32 +1 +1 +1 1
02 01 07 +0.24 -1 -1 -1 1
02 01 08 +0.13 +0 -1 -1 1
02 01 09 +0.56 +0 -1 -1 1
02 01 10 +0.18 -1 -1 -1 1
02 01 11 +0.75 -1 +1 +1 1
02 01 12 +0.10 +1 +1 +1 1
02 01 13 +0.10 -1 -1 +1 0
02 01 14 +0.32 +0 +1 +1 1
02 01 15 +0.56 +1 -1 -1 1
02 01 16 +0.75 -1 -1 -1 1
02 01 17 +0.75 +1 -1 -1 1
02 01 18 +0.75 +0 -1 -1 1
02 01 19 +0.24 +1 -1 +1 0
02 01 20 +1.00 +0 +1 +1 1
02 01 21 +0.24 +0 -1 -1 1
02 01 22 +0.56 +1 +1 +1 1
02 01 23 +0.32 +1 -1 -1 1
02 01 24 +0.10 +0 +1 +1 1
02 01 25 +1.00 +0 -1 -1 1
02 01 26 +0.18 -1 +1 +1 1
02 01 27 +0.00 -1 -1 +1 1
02 01 28 +1.00 +1 -1 -1 1
02 01 29 +0.00 +0 +1 +1 1
02 01 30 +0.10 -1 +1 +1 1
02 01 31 +1.00 -1 +1 +1 1
02 01 32 +0.18 +0 +1 +1 1
02 01 33 +0.24 +0 +1 +1 1
02 01 34 +0.75 +1 +1 +1 1
02 01 35 +0.13 -1 +1 +1 1
02 01 36 +1.00 -1 -1 -1 1
02 01 37 +0.13 -1 -1 -1 1
02 01 38 +0.32 +0 -1 -1 1
02 01 39 +0.13 +1 +1 +1 1
02 01 40 +0.10 +0 -1 +1 0
02 01 41 +0.18 +1 +1 +1 1
02 01 42 +0.42 -1 +1 +1 1
02 01 43 +0.24 -1 +1 +1 1
02 01 44 +0.75 +0 +1 +1 1
02 01 45 +0.56 -1 +1 +1 1
02 01 46 +1.00 +1 +1 +1 1
02 01 47 +0.00 -1 +1 -1 1
02 01 48 +0.42 +1 +1 +1 1
02 01 49 +0.32 -1 -1 -1 1
02 01 50 +0.24 +1 +1 +1 1
02 01 51 +0.00 +1 +1 +1 1
02 01 52 +0.32 -1 +1 +1 1
02 01 53 +0.00 +1 -1 +1 0
02 01 54 +0.42 +1 -1 -1 1
02 01 55 +0.13 +0 +1 +1 1
02 01 56 +0.10 +1 -1 -1 1
02 01 57 +0.18 +0 -1 -1 1
02 01 58 +0.42 -1 -1 -1 1
02 01 59 +0.18 +1 -1 -1 1
02 01 60 +0.42 +0 +1 +1 1
02 02 01 +0.18 +0 -1 -1 1
02 02 02 +1.00 -1 +1 +1 1
02 02 03 +0.42 +0 +1 +1 1
02 02 04 +0.13 +0 -1 -1 1
02 02 05 +0.00 -1 -1 +1 0
02 02 06 +0.75 -1 -1 -1 1
02 02 07 +0.32 -1 +1 +1 1
02 02 08 +0.00 +0 +1 -1 1
02 02 09 +0.10 +1 +1 +1 1
02 02 10 +0.10 +0 +1 +1 1
02 02 11 +0.10 -1 +1 +1 1
02 02 12 +0.24 -1 +1 +1 1
02 02 13 +0.10 +0 -1 -1 1
02 02 14 +0.32 +1 -1 -1 1
02 02 15 +0.24 +0 +1 +1 1
02 02 16 +1.00 +1 -1 -1 1
02 02 17 +0.42 +1 +1 +1 1
